district_id,district,neighborhood,neighborhood_id,Insgesamt,unter 6 Jahren,6 - 15,15 - 18,18 - 27,27 - 45,45 - 55,55 - 65,"65 Jahren und
mehr","Darunter
weiblich"
11008008,Neukölln,Britz,0802,43895,2271,3593,1158,4693,12065,5111,6096,8908,21809
11008008,Neukölln,Buckow,0803,42079,2338,3859,1187,3993,9582,4583,6046,10491,21613
11008008,Neukölln,Rudow,0804,42944,2313,4116,1261,3874,8593,5059,6698,11030,21986
11008008,Neukölln,Gropiusstadt,0805,39521,2484,3512,1066,4116,9865,4151,4962,9365,20544
11009009,Treptow-Köpenick,Alt-Treptow,0901,13491,713,1233,347,1178,4830,2202,1574,1414,6767
11009009,Treptow-Köpenick,Plänterwald,0902,11869,505,791,209,1264,3928,1408,1576,2188,5962
11009009,Treptow-Köpenick,Baumschulenweg,0903,19592,1042,1339,393,1678,6465,2146,2494,4035,10049
11009009,Treptow-Köpenick,Johannisthal,0904,22760,1419,1852,570,2346,6381,2542,3028,4622,11612
11009009,Treptow-Köpenick,Niederschöneweide,0905,15387,968,1112,342,1901,5732,1580,1511,2241,7289
11009009,Treptow-Köpenick,Altglienicke,0906,33821,2461,3821,1138,3188,8332,4064,5017,5800,17189
11009009,Treptow-Köpenick,Adlershof,0907,22942,1332,1724,541,3160,7845,2430,2494,3416,11110
11009009,Treptow-Köpenick,Bohnsdorf,0908,13865,783,1282,404,1128,3223,1632,2280,3133,7038
11009009,Treptow-Köpenick,Oberschöneweide,0909,25846,1379,2108,595,3918,9706,2767,2508,2865,12352
11009009,Treptow-Köpenick,Köpenick,0910,72778,3771,5803,1811,6546,19888,8124,9321,17514,37380
11009009,Treptow-Köpenick,Friedrichshagen,0911,19014,814,1615,510,1344,3895,2405,3086,5345,10174
11009009,Treptow-Köpenick,Rahnsdorf,0912,11227,634,973,316,803,2354,1340,1873,2934,5627
11009009,Treptow-Köpenick,Grünau,0913,8551,510,695,166,555,2483,986,1111,2045,4395
11009009,Treptow-Köpenick,Müggelheim,0914,7015,293,640,202,376,1290,856,1440,1918,3520
11009009,Treptow-Köpenick,Schmöckwitz,0915,4528,235,397,113,287,865,598,813,1220,2265
11010010,Marzahn-Hellersdorf,Marzahn,1001,120584,6865,10765,3472,12702,32074,12943,13018,28745,60129
11010010,Marzahn-Hellersdorf,Biesdorf,1002,30891,1543,2770,813,2548,6780,3687,4720,8030,15633
11010010,Marzahn-Hellersdorf,Kaulsdorf,1003,19827,810,1812,589,1356,3633,2525,3756,5346,10042
11010010,Marzahn-Hellersdorf,Mahlsdorf,1004,30452,1298,3092,908,1746,5572,3984,5807,8045,15435
11010010,Marzahn-Hellersdorf,Hellersdorf,1005,94933,6391,10162,3137,9770,27814,9696,12280,15683,47504
11011011,Lichtenberg,Friedrichsfelde,1101,58445,3113,4365,1230,6342,18321,5937,5906,13231,29849
11011011,Lichtenberg,Karlshorst,1102,31821,1968,3432,992,2909,9396,4216,3945,4963,16260
11011011,Lichtenberg,Lichtenberg,1103,45253,2570,3615,1049,5512,16241,5243,4458,6565,22126
11011011,Lichtenberg,Falkenberg,1104,3276,329,454,121,389,936,343,386,318,1636
11011011,Lichtenberg,Malchow,1106,616,32,34,18,61,146,99,106,120,245
11011011,Lichtenberg,Wartenberg,1107,2708,92,227,102,175,507,367,542,696,1346
11011011,Lichtenberg,Neu-Hohenschönhausen,1109,59715,3637,6086,1993,5562,15822,6165,7778,12672,30088
11011011,Lichtenberg,Alt-Hohenschönhausen,1110,53845,3317,5295,1604,5086,15118,6135,6360,10930,27332
